,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000274967,10.66980122,0.831881914,0.22208683,3.745750768,0.000179855,0.006268788
ENSG00000115520,851.0346297,-0.368328667,0.098382391,-3.743847481,0.000181224,0.006275813
ENSG00000177363,5.248237785,1.901153168,0.507673202,3.744836565,0.000180511,0.006275813
ENSG00000185811,23.70059252,1.473881627,0.393640398,3.744233656,0.000180945,0.006275813
ENSG00000197324,462.1924526,0.421175094,0.112520375,3.743100711,0.000181763,0.006275813
ENSG00000265972,11234.0521,0.524583915,0.140144797,3.74315656,0.000181723,0.006275813
ENSG00000278932,26.34156047,0.766918771,0.204848132,3.743840684,0.000181229,0.006275813
ENSG00000010327,42.88752298,1.242474637,0.332097306,3.741296951,0.000183073,0.006286999
ENSG00000137573,348.4793512,1.061938787,0.283917694,3.740305051,0.000183797,0.006286999
ENSG00000143337,993.0562462,-0.349815376,0.093523538,-3.74039928,0.000183728,0.006286999
ENSG00000151239,592.5580756,-0.469680304,0.125558507,-3.740728651,0.000183488,0.006286999
ENSG00000164761,81.05306176,1.284997401,0.343392601,3.74206491,0.000182514,0.006286999
ENSG00000184194,76.12674854,0.722179613,0.193040919,3.741070116,0.000183238,0.006286999
ENSG00000180817,2254.577911,-0.3703691,0.099061699,-3.73877195,0.000184921,0.006315666
ENSG00000131966,1649.76721,-0.311907324,0.083476541,-3.73646679,0.000186624,0.006363968
ENSG00000198947,856.901861,0.732135965,0.196092763,3.73362052,0.000188747,0.006426421
ENSG00000267454,157.7140833,-0.498087991,0.133428659,-3.732991055,0.000189219,0.006432582
ENSG00000104321,9.391675289,1.603510869,0.429718944,3.731534049,0.000190317,0.006459954
ENSG00000109113,47.54131857,1.334355473,0.357887829,3.728418135,0.000192685,0.006530292
ENSG00000159788,55.64318603,0.747627266,0.200574685,3.727425852,0.000193445,0.006545992
ENSG00000136144,783.2671097,-0.381502368,0.102371498,-3.726646328,0.000194044,0.006546181
ENSG00000255670,8.712537497,1.193771322,0.320317545,3.726837135,0.000193898,0.006546181
ENSG00000213463,1101.466482,-0.247105493,0.066324521,-3.725703397,0.000194771,0.006560671
ENSG00000143333,5261.037416,1.001167349,0.268770964,3.724983287,0.000195328,0.006569398
ENSG00000123496,143.8150876,2.085194958,0.559869533,3.724430129,0.000195757,0.006573797
ENSG00000069702,1654.806889,-0.623974664,0.167561259,-3.723859971,0.0001962,0.006578656
ENSG00000094880,656.6254579,-0.359706712,0.096647126,-3.721856257,0.000197764,0.006609432
ENSG00000153802,8.841275802,1.390178729,0.373588254,3.721152134,0.000198316,0.006609432
ENSG00000204287,1502.676288,1.153641544,0.310000968,3.72141271,0.000198111,0.006609432
ENSG00000275413,17.13960949,0.867030794,0.232959567,3.721808061,0.000197801,0.006609432
ENSG00000173821,998.9316498,0.445322567,0.119690664,3.720612381,0.00019874,0.006613585
ENSG00000106991,136.9895495,0.951285324,0.255806026,3.718776055,0.00020019,0.006641807
ENSG00000129696,226.0250101,-0.445164221,0.119699952,-3.719000839,0.000200012,0.006641807
ENSG00000177169,240.4023151,0.529249314,0.142356225,3.71778132,0.00020098,0.006657995
ENSG00000258231,81.23902416,1.09876977,0.29560115,3.717068661,0.000201548,0.006666786
ENSG00000146021,1361.166495,0.383709794,0.103261305,3.71591075,0.000202473,0.006684745
ENSG00000162704,2629.536298,-0.273508086,0.073617068,-3.715280887,0.000202978,0.006684745
ENSG00000223770,39.08880857,0.683512566,0.183974646,3.715254143,0.000203,0.006684745
ENSG00000174173,540.2582467,-0.356399004,0.095952067,-3.714344228,0.000203731,0.006698844
ENSG00000015285,4.476761881,1.693038695,0.456025649,3.71259533,0.000205145,0.006726741
ENSG00000124813,45.29464138,0.916682433,0.246915159,3.712540111,0.00020519,0.006726741
ENSG00000115414,516.5540176,1.03025382,0.27775549,3.709211358,0.000207906,0.006805677
ENSG00000140749,77.54433146,1.28395608,0.3464014,3.706555691,0.000210097,0.006867217
ENSG00000108094,575.1665224,-0.32756456,0.088430572,-3.704200402,0.000212059,0.006921077
ENSG00000145555,851.6099475,0.519092417,0.140156939,3.703651209,0.000212518,0.00692584
ENSG00000081041,22.28815089,2.522217777,0.681305312,3.702037445,0.000213875,0.006929534
ENSG00000107731,338.7311197,0.721418193,0.194871396,3.702021994,0.000213888,0.006929534
ENSG00000166165,1127.811461,0.561136508,0.151558079,3.702451971,0.000213526,0.006929534
ENSG00000196141,775.9486526,0.399596337,0.10791198,3.702984036,0.000213078,0.006929534
ENSG00000159674,91.92852057,0.683102082,0.184555239,3.701342131,0.000214462,0.006937942
ENSG00000105849,568.6401721,-0.344408776,0.093066049,-3.700691925,0.000215012,0.006945561
ENSG00000129675,54.17119945,1.164898987,0.314863,3.699701103,0.000215854,0.006962539
ENSG00000102978,856.6179359,-0.381931588,0.103287652,-3.697746839,0.000217522,0.007006103
ENSG00000023734,2471.127776,-0.304587269,0.082436671,-3.694803127,0.000220057,0.007077438
ENSG00000139269,6.451444862,2.054636738,0.556366171,3.692957707,0.000221661,0.007118638
ENSG00000102804,3702.979175,-0.324716707,0.087958976,-3.691683565,0.000222775,0.007141394
ENSG00000148606,680.1203381,-0.304941035,0.0826166,-3.691038289,0.000223341,0.007141394
ENSG00000213186,325.1964914,-0.524317629,0.142038866,-3.691367328,0.000223052,0.007141394
ENSG00000135249,288.3865962,-0.386109121,0.104661154,-3.689134944,0.000225018,0.007174232
ENSG00000163743,931.891421,-0.331372026,0.089815012,-3.689494863,0.0002247,0.007174232
ENSG00000011600,125.5083834,1.218548785,0.330356104,3.68859171,0.000225499,0.00717919
ENSG00000157637,420.5650379,0.526765927,0.142844751,3.68768136,0.000226307,0.007194534
ENSG00000179583,34.73382334,0.962388097,0.261083634,3.68612954,0.00022769,0.007228108
ENSG00000133627,160.8873908,-0.520723209,0.141321955,-3.684658956,0.000229009,0.007259522
ENSG00000173611,235.4502687,-0.412651359,0.112030698,-3.683377555,0.000230164,0.007285661
ENSG00000100591,947.7099174,-0.385828177,0.104852163,-3.679735028,0.000233476,0.00736304
ENSG00000122367,8.771566204,1.464020997,0.397947698,3.678928171,0.000234216,0.00736304
ENSG00000128596,24.96763253,0.903399409,0.245564911,3.678861964,0.000234277,0.00736304
ENSG00000134759,1176.964928,-0.247601488,0.067298374,-3.679160059,0.000234003,0.00736304
ENSG00000135503,418.0005317,-0.524928672,0.142682341,-3.679002383,0.000234148,0.00736304
ENSG00000174437,1609.040537,-0.211375444,0.057467677,-3.678162343,0.00023492,0.007372759
ENSG00000136932,349.5315029,-0.408898438,0.111192781,-3.677382949,0.000235639,0.007381401
ENSG00000249691,5.417334658,1.584473356,0.43089846,3.677138588,0.000235865,0.007381401
ENSG00000249690,4.846487786,1.849886519,0.503289873,3.6755886,0.000237302,0.007415845
ENSG00000153130,3336.290907,-0.436445969,0.118807291,-3.673562165,0.000239192,0.007442677
ENSG00000163875,3094.716328,-0.296840862,0.080819732,-3.672876099,0.000239836,0.007442677
ENSG00000184903,407.8614363,-0.331606801,0.09027554,-3.67327409,0.000239462,0.007442677
ENSG00000211592,1439.00039,2.482427842,0.675809057,3.673268087,0.000239468,0.007442677
ENSG00000226453,4.699370722,2.147706472,0.584749762,3.67286421,0.000239847,0.007442677
ENSG00000282757,8.060333671,1.851694233,0.504344299,3.671488382,0.000241142,0.007472355
ENSG00000166676,15.56762332,1.29399785,0.352608035,3.669791159,0.000242749,0.007501071
ENSG00000188641,203.9248034,0.849626295,0.231500623,3.670082107,0.000242473,0.007501071
ENSG00000143401,2735.684893,-0.528802878,0.14413564,-3.668786413,0.000243705,0.007520075
ENSG00000197191,29.76400196,1.187472943,0.323701412,3.668420648,0.000244053,0.007520322
ENSG00000092199,2903.188786,-0.265427702,0.072395413,-3.666360784,0.000246027,0.007549497
ENSG00000185010,191.6698111,-0.651212741,0.17760188,-3.666699584,0.000245701,0.007549497
ENSG00000270231,86.12579998,0.447689133,0.122096027,3.666696961,0.000245704,0.007549497
ENSG00000099282,24.78871114,1.220060223,0.332877474,3.665193111,0.000247152,0.007562989
ENSG00000182158,2344.194125,-0.26595785,0.072557651,-3.665469383,0.000246885,0.007562989
ENSG00000265752,3.95856736,2.085284731,0.569201839,3.663524231,0.000248769,0.007601916
ENSG00000162444,80.01088342,0.954401504,0.260574973,3.662675251,0.000249595,0.007616614
ENSG00000228109,28.57644603,0.788085637,0.215228673,3.661620107,0.000250625,0.007637495
ENSG00000180228,653.7337487,-0.303864531,0.082996328,-3.661180439,0.000251056,0.007640063
ENSG00000172578,15.11532383,1.455406382,0.397588844,3.660581534,0.000251643,0.007647396
ENSG00000247381,361.1237966,-0.836969552,0.228683461,-3.659947898,0.000252267,0.007655786
ENSG00000203727,509.776464,0.612736727,0.167463674,3.65892324,0.000253277,0.007675899
ENSG00000197223,455.8371584,-0.597635757,0.16335371,-3.658538008,0.000253658,0.007676899
ENSG00000261934,20.32378625,1.189893957,0.325293981,3.657903392,0.000254287,0.007685385
ENSG00000243806,3.434692771,3.05647077,0.836021463,3.655971653,0.00025621,0.007732905
ENSG00000126953,118.1440078,-0.549492466,0.15037516,-3.654143853,0.000258042,0.007757066
ENSG00000136859,134.651544,0.770404846,0.210831804,3.654120639,0.000258065,0.007757066
ENSG00000267321,446.1603179,-0.355637583,0.097312623,-3.654588386,0.000257595,0.007757066
ENSG00000145287,195.2848537,0.454720336,0.124503203,3.652278201,0.000259924,0.007802319
ENSG00000233913,9.465785475,-1.331691388,0.364727843,-3.651192021,0.000261026,0.00782475
ENSG00000108821,932.2998795,1.441625341,0.395179916,3.648022789,0.000264266,0.007911133
ENSG00000100055,18.8870966,1.37117698,0.375963361,3.647102677,0.000265214,0.007918019
ENSG00000130818,498.6939828,-0.260411042,0.071395748,-3.647430682,0.000264876,0.007918019
ENSG00000165801,211.5927752,0.553641626,0.151839297,3.646234129,0.000266112,0.007934079
ENSG00000157927,4.583993738,2.084331399,0.57169491,3.645880632,0.000266478,0.007934273
ENSG00000164175,20.11053049,-0.884731123,0.242741611,-3.644744385,0.000267658,0.007958668
ENSG00000263465,771.9634057,-0.264232281,0.072516033,-3.643777386,0.000268666,0.007977892
ENSG00000106100,59.43636191,0.725549333,0.199174516,3.642781957,0.000269707,0.007998054
ENSG00000137700,2506.883835,-0.476378962,0.13078892,-3.642349538,0.000270161,0.008000751
ENSG00000014641,4449.585831,-0.386998789,0.106309175,-3.640314114,0.000272306,0.008053458
ENSG00000110077,188.2034171,1.114651544,0.306450891,3.637292552,0.000275519,0.008109202
ENSG00000115109,882.5402391,-0.315850295,0.08681831,-3.638060845,0.000274699,0.008109202
ENSG00000154451,14.24339083,1.630819062,0.448377045,3.63716002,0.000275661,0.008109202
ENSG00000171560,63.0562538,2.635095076,0.724461741,3.637314335,0.000275496,0.008109202
ENSG00000211460,1664.263428,-0.415310807,0.114229099,-3.635770661,0.000277151,0.008142182
ENSG00000128422,5.941810419,3.087904924,0.84959451,3.634563182,0.000278452,0.00816953
ENSG00000260793,142.0744829,0.490944065,0.135128126,3.633174524,0.000279956,0.008202734
ENSG00000285103,46.41554281,0.792978044,0.218398885,3.630870388,0.000282467,0.008265345
ENSG00000164221,174.1196371,0.359216798,0.09914824,3.623027482,0.000291175,0.008508863
ENSG00000211668,10.63682215,3.289438938,0.90815857,3.622097558,0.000292224,0.008528221
ENSG00000144895,1707.648678,-0.366335908,0.101176493,-3.620761083,0.000293738,0.008561076
ENSG00000056586,796.7320676,-0.262559658,0.072541672,-3.619432121,0.00029525,0.008561662
ENSG00000133636,77.94712995,2.887779939,0.797685979,3.620196439,0.000294379,0.008561662
ENSG00000171044,95.09871297,0.572821786,0.15826518,3.619379731,0.00029531,0.008561662
ENSG00000196517,53.17808678,-0.822770614,0.227287452,-3.619956174,0.000294653,0.008561662
ENSG00000137959,109.524769,1.707982816,0.47211861,3.617698562,0.000297234,0.008606142
ENSG00000100612,2091.384744,-0.410244812,0.113472518,-3.615367149,0.000299922,0.008661236
ENSG00000229989,41.25214787,1.3925238,0.385154837,3.615490877,0.000299779,0.008661236
ENSG00000134955,7.316350697,1.742625851,0.482234857,3.613645567,0.000301922,0.00870758
ENSG00000168961,33.21595708,1.496054763,0.41407508,3.613003617,0.00030267,0.008717779
ENSG00000263883,17.14258089,1.087942267,0.301171754,3.612364881,0.000303417,0.008727893
ENSG00000160789,305.3040419,0.617052195,0.17085312,3.611594533,0.00030432,0.008737516
ENSG00000179954,37.7314138,0.924673495,0.256042661,3.611404016,0.000304544,0.008737516
ENSG00000107104,691.7987415,0.446842182,0.123766176,3.610373975,0.000305756,0.008760897
ENSG00000232587,45.88461821,0.824160339,0.228426923,3.607982496,0.000308587,0.00883056
ENSG00000101115,195.8782387,0.631998817,0.175231882,3.606642869,0.000310184,0.008836756
ENSG00000107854,1052.46275,-0.250922237,0.069580421,-3.606218997,0.000310691,0.008836756
ENSG00000117758,2359.110581,-0.651268229,0.180625865,-3.605619981,0.000311409,0.008836756
ENSG00000154856,47.38342575,1.397582944,0.387532662,3.60636168,0.00031052,0.008836756
ENSG00000177707,614.5206954,-0.632289467,0.175368096,-3.605498831,0.000311554,0.008836756
ENSG00000215251,235.840988,-0.489295807,0.135709896,-3.605454146,0.000311608,0.008836756
ENSG00000280229,65.32382642,1.03107061,0.285928847,3.606039128,0.000310906,0.008836756
ENSG00000119414,1182.644503,-0.334825145,0.092903769,-3.603999594,0.000313358,0.008844551
ENSG00000128989,2890.154897,-0.292894189,0.081262295,-3.604306135,0.000312988,0.008844551
ENSG00000186204,30.16530494,1.608837499,0.44641464,3.603908462,0.000313467,0.008844551
ENSG00000240694,1974.140889,-0.37358999,0.103662891,-3.60389322,0.000313486,0.008844551
ENSG00000164574,446.2569595,0.586666032,0.16285528,3.602376481,0.000315321,0.008884971
ENSG00000104714,237.776767,0.43430156,0.120584708,3.60163048,0.000316228,0.008896318
ENSG00000164024,561.1627621,-0.327747056,0.091005919,-3.601381771,0.00031653,0.008896318
ENSG00000060718,10.12294016,2.106865465,0.585273697,3.599795231,0.000318468,0.008928026
ENSG00000074071,167.76159,0.448341901,0.124538499,3.600026537,0.000318185,0.008928026
ENSG00000162433,173.792489,0.906810304,0.252036604,3.597930977,0.000320759,0.008980837
ENSG00000229880,6.269411078,1.787495805,0.496948914,3.596940763,0.000321982,0.009003655
ENSG00000103507,162.7353419,0.48094462,0.133772812,3.595234433,0.0003241,0.009024114
ENSG00000154240,233.9220205,0.415562434,0.11558945,3.595158843,0.000324194,0.009024114
ENSG00000184500,150.0058754,0.902271748,0.251000172,3.594705689,0.000324758,0.009024114
ENSG00000187608,61.95876668,1.093124046,0.303984243,3.595989168,0.000323161,0.009024114
ENSG00000198074,8.195659113,3.345719702,0.930688486,3.594886745,0.000324533,0.009024114
ENSG00000121579,804.6644502,-0.358957906,0.099935087,-3.59191069,0.000328262,0.009100389
ENSG00000175175,540.0972332,-0.761422534,0.211985685,-3.59185827,0.000328328,0.009100389
ENSG00000152700,3046.59946,-0.386787947,0.107699977,-3.591346618,0.000328974,0.009101235
ENSG00000198053,78.20442405,0.935307917,0.260445834,3.591180175,0.000329184,0.009101235
ENSG00000164626,27.2780977,1.675630257,0.466969123,3.588310603,0.000332828,0.009157383
ENSG00000166016,18.76876183,0.783106779,0.218215509,3.588685248,0.00033235,0.009157383
ENSG00000168394,57.65274287,0.68944047,0.192093146,3.589094582,0.000331828,0.009157383
ENSG00000204397,51.14929995,1.252631068,0.349090187,3.588273498,0.000332875,0.009157383
ENSG00000106355,924.5721389,-0.347993131,0.097009784,-3.587196206,0.000334253,0.009183835
ENSG00000114480,506.3483787,-0.328015649,0.091465396,-3.586226728,0.000335497,0.009195126
ENSG00000182568,1647.606661,0.297195033,0.082871215,3.58622753,0.000335496,0.009195126
ENSG00000211751,15.99253162,1.717861386,0.479108413,3.585537931,0.000336384,0.009207993
ENSG00000050130,2329.015236,-0.448036841,0.124969943,-3.585156798,0.000336876,0.009210024
ENSG00000111652,1093.739167,-0.368117627,0.102711356,-3.584001228,0.00033837,0.009239441
ENSG00000204472,171.2959835,0.982454582,0.274201764,3.582962296,0.00033972,0.009264814
ENSG00000023697,642.9468983,-0.358492583,0.100087135,-3.581804835,0.000341229,0.009283019
ENSG00000154589,20.50652533,1.244414788,0.347420117,3.581873149,0.000341139,0.009283019
ENSG00000185291,55.49130933,0.848141071,0.236848216,3.58094768,0.00034235,0.00930206
ENSG00000102580,5947.613389,-0.467861191,0.13068711,-3.580010235,0.000343581,0.009324012
ENSG00000237250,31.01121693,2.010189038,0.561618128,3.579280899,0.000344541,0.009327126
ENSG00000281831,34.04801589,1.367624712,0.382085465,3.579368588,0.000344425,0.009327126
ENSG00000137841,10.76690332,1.426418315,0.398857003,3.576264937,0.000348538,0.009400738
ENSG00000153253,546.9613193,0.40546476,0.113371819,3.57641575,0.000348338,0.009400738
ENSG00000161057,1881.189274,-0.415445006,0.11614688,-3.576893362,0.000347702,0.009400738
ENSG00000135297,462.989484,-0.338743436,0.094730179,-3.575876674,0.000349056,0.009403207
ENSG00000276291,248.868188,0.277009144,0.077477854,3.57533319,0.000349782,0.009411272
ENSG00000100448,7.792092244,2.352765861,0.658431718,3.573287551,0.000352527,0.009455267
ENSG00000107651,707.4345455,-0.272150068,0.076163189,-3.573249367,0.000352579,0.009455267
ENSG00000180644,14.22129736,1.576661873,0.441251757,3.573157154,0.000352703,0.009455267
ENSG00000155868,609.2430977,-0.368628447,0.103202887,-3.571881165,0.000354426,0.009489935
ENSG00000213613,66.95279789,0.819651278,0.22950361,3.57140909,0.000355066,0.009495535
ENSG00000186417,19.62515641,2.003559876,0.561377433,3.569006803,0.000358337,0.009571419
ENSG00000039123,1037.944654,-0.34309832,0.096204327,-3.566350191,0.000361988,0.009610749
ENSG00000100554,2976.31304,-0.453266696,0.127077059,-3.566864858,0.000361278,0.009610749
ENSG00000126698,2116.438953,-0.292162108,0.081899294,-3.567333646,0.000360632,0.009610749
ENSG00000165416,1769.306321,-0.30703647,0.086090625,-3.566433266,0.000361873,0.009610749
ENSG00000225193,17.4922304,1.174646422,0.329322554,3.566856892,0.000361289,0.009610749
ENSG00000214944,586.7051905,0.482235687,0.135280687,3.564704603,0.000364266,0.009659622
ENSG00000223551,4.973656018,1.106923039,0.310614436,3.563656127,0.000365725,0.009686663
ENSG00000059915,146.509849,0.566901392,0.15911501,3.562840437,0.000366864,0.009693549
ENSG00000163497,184.6876122,0.74076335,0.207899602,3.563082103,0.000366526,0.009693549
ENSG00000182578,98.81028903,1.113904988,0.312687969,3.562353209,0.000367545,0.009699946
ENSG00000134440,2610.870687,-0.32956384,0.092555275,-3.560724557,0.000369833,0.009738639
ENSG00000170525,137.0603422,0.787814282,0.221253829,3.560680895,0.000369894,0.009738639
ENSG00000145354,718.3061209,-0.397595715,0.11168572,-3.559951219,0.000370924,0.009754099
ENSG00000123342,70.69956166,1.615567757,0.453916464,3.559174175,0.000372023,0.009771355
ENSG00000224417,189.9938283,-0.745486146,0.209670636,-3.555510489,0.000377246,0.009896761
ENSG00000058729,709.4601561,-0.402322273,0.113174115,-3.554896583,0.000378128,0.009908116
ENSG00000204482,27.19405154,1.353655749,0.380865653,3.554155484,0.000379195,0.009924292
ENSG00000017427,24.64651914,1.52760512,0.430320808,3.549921573,0.000385346,0.010066574
ENSG00000077238,44.52750307,1.112319482,0.313348289,3.549786356,0.000385544,0.010066574
ENSG00000089057,1317.585149,-0.271473388,0.076541649,-3.546740768,0.000390028,0.010171621
ENSG00000113966,385.8631024,-0.402147634,0.113416822,-3.545749453,0.000391498,0.010197905
ENSG00000144152,136.190743,0.600217679,0.16929851,3.545321682,0.000392134,0.010202426
ENSG00000178425,833.7125402,-0.309479158,0.087309119,-3.544637292,0.000393154,0.010216902
ENSG00000100299,229.7675071,0.552647108,0.156046156,3.541561829,0.000397766,0.010300356
ENSG00000115758,450.5490873,-0.430453791,0.121527284,-3.542034171,0.000397054,0.010300356
ENSG00000150753,1602.029372,-0.456173643,0.128800277,-3.541713221,0.000397537,0.010300356
ENSG00000083720,651.3359044,-0.384183342,0.10849552,-3.541006498,0.000398604,0.010309959
ENSG00000087191,2590.151556,-0.329680947,0.093184791,-3.537926556,0.000403282,0.010406568
ENSG00000162512,33.79607857,1.044999425,0.29536639,3.537976762,0.000403206,0.010406568
ENSG00000226049,10.50493275,1.605566522,0.454099251,3.535717177,0.00040667,0.010481725
ENSG00000138696,30.78266741,1.998493625,0.565539018,3.533785577,0.000409653,0.010546301
ENSG00000274565,3.311588525,2.295526125,0.649668018,3.533383298,0.000410277,0.010550053
ENSG00000024422,55.06914483,1.013437839,0.2868681,3.532765887,0.000411236,0.01056241
ENSG00000131089,805.4453895,-0.349722755,0.099004555,-3.532390565,0.000411821,0.010565115
ENSG00000130508,82.82286665,0.993662393,0.281403124,3.531099362,0.000413836,0.010596977
ENSG00000248527,13038.47184,-0.444531202,0.125894572,-3.530979897,0.000414023,0.010596977
ENSG00000096088,129.5764131,2.640182344,0.747836539,3.530427048,0.000414889,0.01060021
ENSG00000215440,81.73314835,0.702483612,0.198987725,3.530286165,0.00041511,0.01060021
ENSG00000144306,422.0876146,-0.380378729,0.107782638,-3.52912804,0.000416931,0.010630962
ENSG00000163377,21.5353025,-1.548612093,0.438836079,-3.528907871,0.000417278,0.010630962
ENSG00000168938,126.6084857,0.922558629,0.261658836,3.525807281,0.000422194,0.010743792
ENSG00000165168,83.79379535,1.197458375,0.339666958,3.525389642,0.00042286,0.010748349
ENSG00000171812,16.06347147,1.448886127,0.411107193,3.524351198,0.000424521,0.010778148
ENSG00000061794,1051.922725,-0.405687453,0.115134943,-3.523582342,0.000425755,0.010784647
ENSG00000126945,2628.828431,-0.374111638,0.106165562,-3.523851152,0.000425323,0.010784647
ENSG00000051523,22.45162531,0.941986934,0.267446409,3.522152113,0.000428058,0.01081816
ENSG00000261799,409.8753799,-0.407745507,0.115762095,-3.522271307,0.000427866,0.01081816
ENSG00000140937,76.71380964,1.355679545,0.384941136,3.521784031,0.000428653,0.010820796
ENSG00000129472,626.1236048,-0.25616277,0.072762584,-3.520528759,0.000430687,0.010859718
ENSG00000119899,701.3170033,-0.274187556,0.077910233,-3.519275261,0.000432727,0.010898706
ENSG00000241058,511.2913714,0.251259368,0.071420435,3.518031891,0.00043476,0.010937414
ENSG00000131263,671.5485525,-0.258110471,0.073407379,-3.516137931,0.000437873,0.011003191
ENSG00000059728,377.4060024,-0.381607028,0.108581339,-3.514480776,0.000440615,0.011021858
ENSG00000102935,12.33317937,1.162446941,0.330738362,3.514702476,0.000440247,0.011021858
ENSG00000127511,98.09934768,0.592500467,0.168582184,3.514609034,0.000440402,0.011021858
ENSG00000197170,1450.410815,-0.319503306,0.090909616,-3.514516045,0.000440556,0.011021858
ENSG00000106733,957.9801917,-0.31991486,0.091078517,-3.512517243,0.000443883,0.011075315
ENSG00000215158,98.88371249,0.517967209,0.147466475,3.512440425,0.000444012,0.011075315
ENSG00000228174,19.19606952,1.054508892,0.300233728,3.51229324,0.000444258,0.011075315
ENSG00000110172,1105.151906,-0.422417566,0.120387565,-3.508813954,0.00045011,0.011208543
ENSG00000180957,1079.674876,-0.305721202,0.08715049,-3.50796883,0.000451542,0.011231533
ENSG00000182326,918.7010065,1.222163685,0.348579473,3.506126378,0.000454679,0.011296834
ENSG00000132386,286.7347235,1.177609194,0.335908932,3.505739443,0.000455341,0.011300543
ENSG00000009844,824.033663,-0.445511125,0.127158601,-3.503586234,0.000459038,0.0113795
ENSG00000235750,307.5073238,0.55584159,0.158705264,3.502351309,0.000461171,0.011419549
ENSG00000109332,4015.24357,-0.222366332,0.063515816,-3.500960038,0.000463585,0.011422994
ENSG00000124193,12018.69838,-0.34517131,0.09859694,-3.500831877,0.000463808,0.011422994
ENSG00000131238,5016.658059,-0.393770453,0.11247576,-3.50093615,0.000463627,0.011422994
ENSG00000134871,170.6125189,1.00879931,0.288164169,3.500779824,0.000463899,0.011422994
ENSG00000230928,12.94222399,1.822835337,0.520573287,3.501592154,0.000462487,0.011422994
ENSG00000055130,685.4586767,-0.244020791,0.069723443,-3.499838513,0.00046554,0.011437874
ENSG00000167272,748.5878795,-0.351082387,0.10030822,-3.500036069,0.000465195,0.011437874
ENSG00000124802,396.1711044,-0.428384694,0.122432549,-3.498944489,0.000467104,0.011463528
ENSG00000204252,24.58937506,1.47730796,0.422265843,3.49852583,0.000467838,0.011468783
ENSG00000138663,1811.090944,-0.405849438,0.11604189,-3.497439064,0.000469748,0.011486507
ENSG00000141854,62.53593231,0.678189404,0.193922075,3.497226412,0.000470123,0.011486507
ENSG00000171819,16.51485075,1.707564178,0.488243906,3.497358919,0.000469889,0.011486507
ENSG00000164023,544.754048,-0.404624089,0.115735555,-3.496108775,0.000472096,0.011521968
ENSG00000177303,52.29610441,0.655214762,0.187447323,3.49546076,0.000473244,0.011537219
ENSG00000061676,2482.412785,-0.288280717,0.082490952,-3.494694985,0.000474604,0.011557598
ENSG00000176871,1621.018171,-0.369823027,0.105840346,-3.49415926,0.000475557,0.011568048
ENSG00000049540,49.1914136,1.12092722,0.320940873,3.492628436,0.000478292,0.011596538
ENSG00000126214,215.9396642,0.38768421,0.111000947,3.492620752,0.000478305,0.011596538
ENSG00000162521,2479.639365,-0.281307049,0.08053378,-3.493031731,0.00047757,0.011596538
ENSG00000112167,372.6912362,-0.360285103,0.103206879,-3.490902006,0.000481393,0.011620316
ENSG00000119041,724.748896,-0.325365126,0.093202653,-3.490942758,0.000481319,0.011620316
ENSG00000144381,4196.176574,-0.367405918,0.105227409,-3.491541998,0.000480241,0.011620316
ENSG00000160633,176.2356185,0.529211383,0.151581556,3.491265,0.000480739,0.011620316
ENSG00000108679,3161.495572,0.505008438,0.144723249,3.489476931,0.000483967,0.011634879
ENSG00000111231,340.0080474,-0.374739598,0.10736937,-3.490190914,0.000482676,0.011634879
ENSG00000123570,418.4005159,-0.359979761,0.103150185,-3.489860548,0.000483273,0.011634879
ENSG00000150764,556.2053718,-0.321018174,0.091998091,-3.489400375,0.000484105,0.011634879
ENSG00000198502,209.6351561,1.637679493,0.469398445,3.4888899,0.000485031,0.011644436
ENSG00000079785,2406.665027,-0.307372491,0.08815411,-3.48676302,0.000488904,0.011724671
ENSG00000132423,299.9338852,-0.470855533,0.135054448,-3.486412616,0.000489545,0.011727294
ENSG00000163563,48.0078269,1.192943254,0.342315247,3.484925853,0.000492273,0.011747155
ENSG00000168490,54.32438125,0.906429975,0.260069391,3.485338935,0.000491514,0.011747155
ENSG00000196569,253.1791909,0.939125341,0.269433787,3.485551494,0.000491124,0.011747155
ENSG00000231252,4.809773366,2.155181857,0.618452008,3.484800484,0.000492504,0.011747155
ENSG00000204257,208.2014029,1.006827127,0.288991404,3.483934517,0.0004941,0.011772501
ENSG00000183484,5.057471291,1.935107675,0.555505132,3.483509989,0.000494885,0.011778468
ENSG00000102924,7.452815318,1.595872401,0.458287498,3.482251664,0.000497216,0.011821207
ENSG00000116260,377.1980227,0.503315035,0.144566159,3.481555004,0.000498511,0.011822269
ENSG00000163623,654.7079001,-0.571030928,0.164030155,-3.481255806,0.000499069,0.011822269
ENSG00000168010,241.2298831,0.593061292,0.170367246,3.481075781,0.000499404,0.011822269
ENSG00000186310,364.4972615,-0.386721415,0.111083607,-3.481354499,0.000498885,0.011822269
ENSG00000108518,733.4705504,0.354865732,0.101963812,3.480310543,0.000500833,0.011843383
ENSG00000100744,577.7971843,-0.482225738,0.138578468,-3.47980278,0.000501783,0.01184558
ENSG00000144837,157.0806436,-0.879467067,0.252743143,-3.479687157,0.000502,0.01184558
ENSG00000235548,4.846178017,1.990367723,0.572112166,3.478981645,0.000503323,0.01186412
ENSG00000204787,314.2935382,2.810530207,0.808183447,3.477589424,0.000505944,0.011913178
